filename,width,height,area,aspect_ratio,longest_side,shortest_side
1.jpg,524,343,179732,1.528,524,343
2.jpg,689,528,363792,1.305,689,528
3.jpg,176,110,19360,1.6,176,110
4.jpg,188,181,34028,1.039,188,181
5.jpg,999,810,809190,1.233,999,810
6.jpg,606,618,374508,0.981,618,606
7.jpg,154,161,24794,0.957,161,154
8.jpg,123,148,18204,0.831,148,123
9.jpg,172,248,42656,0.694,248,172
10.jpg,611,428,261508,1.428,611,428
11.jpg,95,210,19950,0.452,210,95
12.jpg,466,339,157974,1.375,466,339
13.jpg,158,139,21962,1.137,158,139
14.jpg,211,134,28274,1.575,211,134
15.jpg,338,246,83148,1.374,338,246
16.jpg,182,115,20930,1.583,182,115
17.jpg,338,243,82134,1.391,338,243
18.jpg,316,266,84056,1.188,316,266
19.jpg,682,410,279620,1.663,682,410
20.jpg,599,327,195873,1.832,599,327
21.jpg,339,218,73902,1.555,339,218
22.jpg,191,120,22920,1.592,191,120
23.jpg,471,338,159198,1.393,471,338
24.jpg,403,234,94302,1.722,403,234
25.jpg,193,123,23739,1.569,193,123
26.jpg,1466,833,1221178,1.76,1466,833
27.jpg,132,141,18612,0.936,141,132
28.jpg,311,266,82726,1.169,311,266
29.jpg,230,207,47610,1.111,230,207
30.jpg,277,220,60940,1.259,277,220
31.jpg,178,151,26878,1.179,178,151
32.jpg,699,413,288687,1.692,699,413
33.jpg,181,169,30589,1.071,181,169
34.jpg,116,160,18560,0.725,160,116
35.jpg,225,148,33300,1.52,225,148
36.jpg,286,174,49764,1.644,286,174
37.jpg,275,248,68200,1.109,275,248
38.jpg,361,237,85557,1.523,361,237
39.jpg,150,93,13950,1.613,150,93
40.jpg,649,450,292050,1.442,649,450
41.jpg,493,376,185368,1.311,493,376
42.jpg,414,315,130410,1.314,414,315
43.jpg,616,517,318472,1.191,616,517
44.jpg,457,316,144412,1.446,457,316
45.jpg,118,185,21830,0.638,185,118
46.jpg,480,441,211680,1.088,480,441
47.jpg,164,97,15908,1.691,164,97
48.jpg,640,386,247040,1.658,640,386
49.jpg,691,656,453296,1.053,691,656
50.jpg,202,122,24644,1.656,202,122
51.jpg,2319,1119,2594961,2.072,2319,1119
52.jpg,836,436,364496,1.917,836,436
53.jpg,122,87,10614,1.402,122,87
54.jpg,162,101,16362,1.604,162,101
55.jpg,485,366,177510,1.325,485,366
56.jpg,318,169,53742,1.882,318,169
57.jpg,132,75,9900,1.76,132,75
58.jpg,125,87,10875,1.437,125,87
59.jpg,825,520,429000,1.587,825,520
60.jpg,169,92,15548,1.837,169,92
61.jpg,167,86,14362,1.942,167,86
62.jpg,99,64,6336,1.547,99,64
63.jpg,156,114,17784,1.368,156,114
64.jpg,139,76,10564,1.829,139,76
65.jpg,132,80,10560,1.65,132,80
66.jpg,114,111,12654,1.027,114,111
67.jpg,205,111,22755,1.847,205,111
68.jpg,662,476,315112,1.391,662,476
69.jpg,171,113,19323,1.513,171,113
70.jpg,454,362,164348,1.254,454,362
71.jpg,192,117,22464,1.641,192,117
72.jpg,155,92,14260,1.685,155,92
73.jpg,119,108,12852,1.102,119,108
74.jpg,169,92,15548,1.837,169,92
75.jpg,184,120,22080,1.533,184,120
76.jpg,185,121,22385,1.529,185,121
77.jpg,509,391,199019,1.302,509,391
78.jpg,154,85,13090,1.812,154,85
79.jpg,126,104,13104,1.212,126,104
80.jpg,99,98,9702,1.01,99,98
81.jpg,129,86,11094,1.5,129,86
82.jpg,133,86,11438,1.547,133,86
83.jpg,150,101,15150,1.485,150,101
84.jpg,139,87,12093,1.598,139,87
85.jpg,162,104,16848,1.558,162,104
86.jpg,261,174,45414,1.5,261,174
87.jpg,759,423,321057,1.794,759,423
88.jpg,154,100,15400,1.54,154,100
89.jpg,129,75,9675,1.72,129,75
90.jpg,1591,629,1000739,2.529,1591,629
91.jpg,115,149,17135,0.772,149,115
92.jpg,178,150,26700,1.187,178,150
93.jpg,560,232,129920,2.414,560,232
94.jpg,512,415,212480,1.234,512,415
95.jpg,286,200,57200,1.43,286,200
96.jpg,743,476,353668,1.561,743,476
97.jpg,298,221,65858,1.348,298,221
98.jpg,185,149,27565,1.242,185,149
99.jpg,200,135,27000,1.481,200,135
100.jpg,58,121,7018,0.479,121,58
101.jpg,184,160,29440,1.15,184,160
102.jpg,118,80,9440,1.475,118,80
103.jpg,904,570,515280,1.586,904,570
104.jpg,238,187,44506,1.273,238,187
105.jpg,190,124,23560,1.532,190,124
106.jpg,126,78,9828,1.615,126,78
107.jpg,170,96,16320,1.771,170,96
108.jpg,142,88,12496,1.614,142,88
109.jpg,838,493,413134,1.7,838,493
110.jpg,704,631,444224,1.116,704,631
111.jpg,281,236,66316,1.191,281,236
112.jpg,278,173,48094,1.607,278,173
113.jpg,176,121,21296,1.455,176,121
114.jpg,320,241,77120,1.328,320,241
115.jpg,183,169,30927,1.083,183,169
116.jpg,191,125,23875,1.528,191,125
117.jpg,212,140,29680,1.514,212,140
118.jpg,172,158,27176,1.089,172,158
119.jpg,946,590,558140,1.603,946,590
120.jpg,210,160,33600,1.312,210,160
121.jpg,111,93,10323,1.194,111,93
122.jpg,195,164,31980,1.189,195,164
123.jpg,226,156,35256,1.449,226,156
124.jpg,222,198,43956,1.121,222,198
125.jpg,161,117,18837,1.376,161,117
126.jpg,236,132,31152,1.788,236,132
127.jpg,185,136,25160,1.36,185,136
128.jpg,146,110,16060,1.327,146,110
129.jpg,184,120,22080,1.533,184,120
130.jpg,985,594,585090,1.658,985,594
131.jpg,156,104,16224,1.5,156,104
132.jpg,341,260,88660,1.312,341,260
133.jpg,172,113,19436,1.522,172,113
134.jpg,204,123,25092,1.659,204,123
135.jpg,211,138,29118,1.529,211,138
136.jpg,163,138,22494,1.181,163,138
137.jpg,225,171,38475,1.316,225,171
138.jpg,260,169,43940,1.538,260,169
139.jpg,170,137,23290,1.241,170,137
140.jpg,689,481,331409,1.432,689,481
141.jpg,267,232,61944,1.151,267,232
142.jpg,214,153,32742,1.399,214,153
143.jpg,236,206,48616,1.146,236,206
144.jpg,188,144,27072,1.306,188,144
145.jpg,183,120,21960,1.525,183,120
146.jpg,230,140,32200,1.643,230,140
147.jpg,2084,1093,2277812,1.907,2084,1093
148.jpg,2164,974,2107736,2.222,2164,974
149.jpg,2103,1265,2660295,1.662,2103,1265
150.jpg,756,412,311472,1.835,756,412
151.jpg,1221,603,736263,2.025,1221,603
152.jpg,1535,798,1224930,1.924,1535,798
153.jpg,2087,1109,2314483,1.882,2087,1109
154.jpg,1744,1058,1845152,1.648,1744,1058
155.jpg,1635,909,1486215,1.799,1635,909
156.jpg,221,140,30940,1.579,221,140
157.jpg,1523,938,1428574,1.624,1523,938
158.jpg,1747,904,1579288,1.933,1747,904
159.jpg,1482,800,1185600,1.853,1482,800
160.jpg,2402,2039,4897678,1.178,2402,2039
161.jpg,104,120,12480,0.867,120,104
162.jpg,624,460,287040,1.357,624,460
163.jpg,563,470,264610,1.198,563,470
164.jpg,634,641,406394,0.989,641,634
165.jpg,451,446,201146,1.011,451,446
166.jpg,327,494,161538,0.662,494,327
167.jpg,818,651,532518,1.257,818,651
168.jpg,385,276,106260,1.395,385,276
169.jpg,551,476,262276,1.158,551,476
170.jpg,566,495,280170,1.143,566,495
171.jpg,316,280,88480,1.129,316,280
172.jpg,584,468,273312,1.248,584,468
173.jpg,502,326,163652,1.54,502,326
174.jpg,413,361,149093,1.144,413,361
175.jpg,249,306,76194,0.814,306,249
176.jpg,535,477,255195,1.122,535,477
177.jpg,304,235,71440,1.294,304,235
178.jpg,335,321,107535,1.044,335,321
179.jpg,382,312,119184,1.224,382,312
180.jpg,1945,1536,2987520,1.266,1945,1536
181.jpg,231,237,54747,0.975,237,231
182.jpg,297,338,100386,0.879,338,297
183.jpg,279,378,105462,0.738,378,279
184.jpg,467,303,141501,1.541,467,303
185.jpg,220,248,54560,0.887,248,220
186.jpg,121,114,13794,1.061,121,114
187.jpg,1048,895,937960,1.171,1048,895
188.jpg,1078,988,1065064,1.091,1078,988
189.jpg,1182,1051,1242282,1.125,1182,1051
190.jpg,1060,894,947640,1.186,1060,894
191.jpg,740,620,458800,1.194,740,620
192.jpg,289,241,69649,1.199,289,241
193.jpg,481,504,242424,0.954,504,481
194.jpg,1131,893,1009983,1.267,1131,893
195.jpg,296,180,53280,1.644,296,180
196.jpg,712,583,415096,1.221,712,583
197.jpg,569,687,390903,0.828,687,569
198.jpg,731,727,531437,1.006,731,727
199.jpg,936,772,722592,1.212,936,772
200.jpg,1049,672,704928,1.561,1049,672
201.jpg,909,564,512676,1.612,909,564
202.jpg,1017,555,564435,1.832,1017,555
203.jpg,970,756,733320,1.283,970,756
204.jpg,942,931,877002,1.012,942,931
205.jpg,276,230,63480,1.2,276,230
206.jpg,1093,668,730124,1.636,1093,668
207.jpg,795,520,413400,1.529,795,520
208.jpg,1490,977,1455730,1.525,1490,977
209.jpg,728,549,399672,1.326,728,549
210.jpg,1195,876,1046820,1.364,1195,876
211.jpg,1266,1116,1412856,1.134,1266,1116
212.jpg,1257,1116,1402812,1.126,1257,1116
213.jpg,656,464,304384,1.414,656,464
214.jpg,692,426,294792,1.624,692,426
215.jpg,584,427,249368,1.368,584,427
216.jpg,426,354,150804,1.203,426,354
217.jpg,513,411,210843,1.248,513,411
218.jpg,707,485,342895,1.458,707,485
219.jpg,254,205,52070,1.239,254,205
220.jpg,1570,1368,2147760,1.148,1570,1368
221.jpg,621,411,255231,1.511,621,411
222.jpg,498,328,163344,1.518,498,328
223.jpg,764,546,417144,1.399,764,546
224.jpg,1106,890,984340,1.243,1106,890
225.jpg,723,585,422955,1.236,723,585
226.jpg,584,600,350400,0.973,600,584
227.jpg,630,468,294840,1.346,630,468
228.jpg,584,427,249368,1.368,584,427
229.jpg,752,572,430144,1.315,752,572
230.jpg,726,427,310002,1.7,726,427
231.jpg,355,292,103660,1.216,355,292
232.jpg,770,429,330330,1.795,770,429
233.jpg,717,630,451710,1.138,717,630
234.jpg,1072,818,876896,1.311,1072,818
235.jpg,520,326,169520,1.595,520,326
236.jpg,866,520,450320,1.665,866,520
237.jpg,720,554,398880,1.3,720,554
238.jpg,283,162,45846,1.747,283,162
239.jpg,359,318,114162,1.129,359,318
240.jpg,869,912,792528,0.953,912,869
241.jpg,281,249,69969,1.129,281,249
242.jpg,143,194,27742,0.737,194,143
243.jpg,228,232,52896,0.983,232,228
244.jpg,129,100,12900,1.29,129,100
245.jpg,167,132,22044,1.265,167,132
246.jpg,168,74,12432,2.27,168,74
247.jpg,266,153,40698,1.739,266,153
248.jpg,170,98,16660,1.735,170,98
249.jpg,772,470,362840,1.643,772,470
250.jpg,178,129,22962,1.38,178,129
251.jpg,116,100,11600,1.16,116,100
252.jpg,117,92,10764,1.272,117,92
253.jpg,114,75,8550,1.52,114,75
254.jpg,232,177,41064,1.311,232,177
255.jpg,720,618,444960,1.165,720,618
256.jpg,288,244,70272,1.18,288,244
257.jpg,708,573,405684,1.236,708,573
258.jpg,365,292,106580,1.25,365,292
259.jpg,610,495,301950,1.232,610,495
260.jpg,126,111,13986,1.135,126,111
261.jpg,229,185,42365,1.238,229,185
262.jpg,118,100,11800,1.18,118,100
263.jpg,113,80,9040,1.413,113,80
264.jpg,433,341,147653,1.27,433,341
265.jpg,136,112,15232,1.214,136,112
266.jpg,185,129,23865,1.434,185,129
267.jpg,224,183,40992,1.224,224,183
268.jpg,186,149,27714,1.248,186,149
269.jpg,212,184,39008,1.152,212,184
270.jpg,949,732,694668,1.296,949,732
271.jpg,125,108,13500,1.157,125,108
272.jpg,171,128,21888,1.336,171,128
273.jpg,222,139,30858,1.597,222,139
274.jpg,144,91,13104,1.582,144,91
275.jpg,185,133,24605,1.391,185,133
276.jpg,271,211,57181,1.284,271,211
277.jpg,166,141,23406,1.177,166,141
278.jpg,303,258,78174,1.174,303,258
279.jpg,606,480,290880,1.262,606,480
280.jpg,896,508,455168,1.764,896,508
281.jpg,213,188,40044,1.133,213,188
282.jpg,136,96,13056,1.417,136,96
283.jpg,161,136,21896,1.184,161,136
284.jpg,124,81,10044,1.531,124,81
285.jpg,1434,1170,1677780,1.226,1434,1170
286.jpg,137,139,19043,0.986,139,137
287.jpg,234,199,46566,1.176,234,199
288.jpg,283,237,67071,1.194,283,237
289.jpg,295,285,84075,1.035,295,285
290.jpg,363,198,71874,1.833,363,198
291.jpg,732,489,357948,1.497,732,489
292.jpg,519,402,208638,1.291,519,402
293.jpg,156,86,13416,1.814,156,86
294.jpg,167,141,23547,1.184,167,141
295.jpg,525,403,211575,1.303,525,403
296.jpg,164,103,16892,1.592,164,103
297.jpg,94,126,11844,0.746,126,94
298.jpg,154,129,19866,1.194,154,129
299.jpg,176,139,24464,1.266,176,139
300.jpg,239,169,40391,1.414,239,169
301.jpg,201,172,34572,1.169,201,172
302.jpg,755,588,443940,1.284,755,588
303.jpg,122,87,10614,1.402,122,87
304.jpg,232,199,46168,1.166,232,199
305.jpg,150,103,15450,1.456,150,103
306.jpg,224,343,76832,0.653,343,224
307.jpg,1517,1289,1955413,1.177,1517,1289
308.jpg,119,78,9282,1.526,119,78
309.jpg,272,218,59296,1.248,272,218
310.jpg,555,426,236430,1.303,555,426
311.jpg,551,380,209380,1.45,551,380
312.jpg,426,254,108204,1.677,426,254
313.jpg,259,223,57757,1.161,259,223
314.jpg,124,128,15872,0.969,128,124
315.jpg,239,253,60467,0.945,253,239
316.jpg,287,192,55104,1.495,287,192
317.jpg,781,675,527175,1.157,781,675
318.jpg,124,88,10912,1.409,124,88
319.jpg,225,192,43200,1.172,225,192
320.jpg,875,534,467250,1.639,875,534
321.jpg,167,99,16533,1.687,167,99
322.jpg,158,137,21646,1.153,158,137
323.jpg,282,224,63168,1.259,282,224
324.jpg,149,91,13559,1.637,149,91
325.jpg,138,85,11730,1.624,138,85
326.jpg,276,219,60444,1.26,276,219
327.jpg,278,215,59770,1.293,278,215
328.jpg,963,560,539280,1.72,963,560
329.jpg,98,74,7252,1.324,98,74
330.jpg,194,165,32010,1.176,194,165
331.jpg,1152,648,746496,1.778,1152,648
332.jpg,170,133,22610,1.278,170,133
333.jpg,164,123,20172,1.333,164,123
334.jpg,895,625,559375,1.432,895,625
335.jpg,157,99,15543,1.586,157,99
336.jpg,453,405,183465,1.119,453,405
337.jpg,368,276,101568,1.333,368,276
338.jpg,661,474,313314,1.395,661,474
339.jpg,149,99,14751,1.505,149,99
340.jpg,198,176,34848,1.125,198,176
341.jpg,295,216,63720,1.366,295,216
342.jpg,340,255,86700,1.333,340,255
343.jpg,288,216,62208,1.333,288,216
344.jpg,206,224,46144,0.92,224,206
345.jpg,437,350,152950,1.249,437,350
346.jpg,405,293,118665,1.382,405,293
347.jpg,232,205,47560,1.132,232,205
348.jpg,744,484,360096,1.537,744,484
349.jpg,242,104,25168,2.327,242,104
350.jpg,124,123,15252,1.008,124,123
351.jpg,156,145,22620,1.076,156,145
352.jpg,273,228,62244,1.197,273,228
353.jpg,499,413,206087,1.208,499,413
354.jpg,224,159,35616,1.409,224,159
355.jpg,224,159,35616,1.409,224,159
356.jpg,1008,1026,1034208,0.982,1026,1008
357.jpg,343,258,88494,1.329,343,258
358.jpg,734,482,353788,1.523,734,482
359.jpg,182,157,28574,1.159,182,157
360.jpg,960,720,691200,1.333,960,720
361.jpg,277,225,62325,1.231,277,225
362.jpg,142,87,12354,1.632,142,87
363.jpg,268,213,57084,1.258,268,213
364.jpg,539,452,243628,1.192,539,452
365.jpg,260,257,66820,1.012,260,257
366.jpg,206,255,52530,0.808,255,206
367.jpg,151,91,13741,1.659,151,91
368.jpg,268,198,53064,1.354,268,198
369.jpg,693,470,325710,1.474,693,470
370.jpg,211,314,66254,0.672,314,211
371.jpg,594,416,247104,1.428,594,416
372.jpg,1266,1010,1278660,1.253,1266,1010
373.jpg,143,112,16016,1.277,143,112
374.jpg,506,381,192786,1.328,506,381
375.jpg,216,175,37800,1.234,216,175
376.jpg,300,207,62100,1.449,300,207
377.jpg,283,211,59713,1.341,283,211
378.jpg,604,384,231936,1.573,604,384
379.jpg,302,248,74896,1.218,302,248
380.jpg,148,200,29600,0.74,200,148
381.jpg,551,450,247950,1.224,551,450
382.jpg,129,80,10320,1.613,129,80
383.jpg,242,211,51062,1.147,242,211
384.jpg,166,139,23074,1.194,166,139
385.jpg,185,145,26825,1.276,185,145
386.jpg,201,169,33969,1.189,201,169
387.jpg,245,204,49980,1.201,245,204
388.jpg,169,138,23322,1.225,169,138
389.jpg,920,820,754400,1.122,920,820
390.jpg,1304,1058,1379632,1.233,1304,1058
391.jpg,111,77,8547,1.442,111,77
392.jpg,117,134,15678,0.873,134,117
393.jpg,210,164,34440,1.28,210,164
394.jpg,125,86,10750,1.453,125,86
395.jpg,357,183,65331,1.951,357,183
396.jpg,506,413,208978,1.225,506,413
397.jpg,168,122,20496,1.377,168,122
398.jpg,1014,825,836550,1.229,1014,825
399.jpg,1467,796,1167732,1.843,1467,796
400.jpg,176,153,26928,1.15,176,153
401.jpg,201,229,46029,0.878,229,201
402.jpg,232,180,41760,1.289,232,180
403.jpg,405,241,97605,1.68,405,241
404.jpg,293,267,78231,1.097,293,267
405.jpg,406,324,131544,1.253,406,324
406.jpg,429,392,168168,1.094,429,392
407.jpg,117,109,12753,1.073,117,109
408.jpg,276,233,64308,1.185,276,233
409.jpg,1365,713,973245,1.914,1365,713
410.jpg,177,149,26373,1.188,177,149
411.jpg,287,242,69454,1.186,287,242
412.jpg,267,218,58206,1.225,267,218
413.jpg,1080,883,953640,1.223,1080,883
414.jpg,251,168,42168,1.494,251,168
415.jpg,166,220,36520,0.755,220,166
416.jpg,154,120,18480,1.283,154,120
417.jpg,282,229,64578,1.231,282,229
418.jpg,282,229,64578,1.231,282,229
419.jpg,170,113,19210,1.504,170,113
420.jpg,1430,771,1102530,1.855,1430,771
421.jpg,226,182,41132,1.242,226,182
422.jpg,330,285,94050,1.158,330,285
423.jpg,344,507,174408,0.679,507,344
424.jpg,367,181,66427,2.028,367,181
425.jpg,205,151,30955,1.358,205,151
426.jpg,232,204,47328,1.137,232,204
427.jpg,158,151,23858,1.046,158,151
428.jpg,158,151,23858,1.046,158,151
429.jpg,626,415,259790,1.508,626,415
430.jpg,266,216,57456,1.231,266,216
431.jpg,651,393,255843,1.656,651,393
432.jpg,237,296,70152,0.801,296,237
433.jpg,210,133,27930,1.579,210,133
434.jpg,156,126,19656,1.238,156,126
435.jpg,184,80,14720,2.3,184,80
436.jpg,209,140,29260,1.493,209,140
437.jpg,384,283,108672,1.357,384,283
438.jpg,239,185,44215,1.292,239,185
439.jpg,424,339,143736,1.251,424,339
440.jpg,859,493,423487,1.742,859,493
441.jpg,441,349,153909,1.264,441,349
442.jpg,360,285,102600,1.263,360,285
443.jpg,283,246,69618,1.15,283,246
444.jpg,345,283,97635,1.219,345,283
445.jpg,276,169,46644,1.633,276,169
446.jpg,973,640,622720,1.52,973,640
447.jpg,437,352,153824,1.241,437,352
448.jpg,276,169,46644,1.633,276,169
449.jpg,264,207,54648,1.275,264,207
450.jpg,339,283,95937,1.198,339,283
451.jpg,863,471,406473,1.832,863,471
452.jpg,244,176,42944,1.386,244,176
453.jpg,282,220,62040,1.282,282,220
454.jpg,192,172,33024,1.116,192,172
455.jpg,345,336,115920,1.027,345,336
456.jpg,202,157,31714,1.287,202,157
457.jpg,280,231,64680,1.212,280,231
458.jpg,180,176,31680,1.023,180,176
459.jpg,424,350,148400,1.211,424,350
460.jpg,367,189,69363,1.942,367,189
461.jpg,644,560,360640,1.15,644,560
462.jpg,380,221,83980,1.719,380,221
463.jpg,363,302,109626,1.202,363,302
464.jpg,296,220,65120,1.345,296,220
465.jpg,836,650,543400,1.286,836,650
466.jpg,198,222,43956,0.892,222,198
467.jpg,159,98,15582,1.622,159,98
468.jpg,276,204,56304,1.353,276,204
469.jpg,180,112,20160,1.607,180,112
470.jpg,1027,636,653172,1.615,1027,636
471.jpg,321,245,78645,1.31,321,245
472.jpg,183,151,27633,1.212,183,151
473.jpg,397,240,95280,1.654,397,240
474.jpg,515,391,201365,1.317,515,391
475.jpg,252,193,48636,1.306,252,193
476.jpg,253,200,50600,1.265,253,200
477.jpg,195,162,31590,1.204,195,162
478.jpg,120,86,10320,1.395,120,86
479.jpg,738,522,385236,1.414,738,522
480.jpg,1285,785,1008725,1.637,1285,785
481.jpg,169,170,28730,0.994,170,169
482.jpg,560,494,276640,1.134,560,494
483.jpg,122,77,9394,1.584,122,77
484.jpg,165,121,19965,1.364,165,121
485.jpg,729,484,352836,1.506,729,484
486.jpg,237,201,47637,1.179,237,201
487.jpg,156,132,20592,1.182,156,132
488.jpg,387,297,114939,1.303,387,297
489.jpg,386,291,112326,1.326,386,291
490.jpg,428,373,159644,1.147,428,373
491.jpg,1754,806,1413724,2.176,1754,806
492.jpg,139,99,13761,1.404,139,99
493.jpg,186,146,27156,1.274,186,146
494.jpg,718,630,452340,1.14,718,630
495.jpg,170,108,18360,1.574,170,108
496.jpg,664,558,370512,1.19,664,558
497.jpg,237,186,44082,1.274,237,186
498.jpg,191,110,21010,1.736,191,110
499.jpg,177,114,20178,1.553,177,114
500.jpg,686,522,358092,1.314,686,522
501.jpg,231,180,41580,1.283,231,180
502.jpg,165,201,33165,0.821,201,165
503.jpg,189,195,36855,0.969,195,189
504.jpg,104,75,7800,1.387,104,75
505.jpg,303,231,69993,1.312,303,231
506.jpg,204,184,37536,1.109,204,184
507.jpg,169,136,22984,1.243,169,136
508.jpg,242,150,36300,1.613,242,150
509.jpg,337,360,121320,0.936,360,337
510.jpg,595,440,261800,1.352,595,440
511.jpg,995,750,746250,1.327,995,750
512.jpg,117,77,9009,1.519,117,77
513.jpg,354,292,103368,1.212,354,292
514.jpg,301,198,59598,1.52,301,198
515.jpg,120,101,12120,1.188,120,101
516.jpg,180,138,24840,1.304,180,138
517.jpg,298,265,78970,1.125,298,265
518.jpg,531,440,233640,1.207,531,440
519.jpg,318,278,88404,1.144,318,278
520.jpg,199,177,35223,1.124,199,177
521.jpg,837,524,438588,1.597,837,524
522.jpg,451,410,184910,1.1,451,410
523.jpg,229,150,34350,1.527,229,150
524.jpg,358,168,60144,2.131,358,168
525.jpg,168,139,23352,1.209,168,139
526.jpg,367,324,118908,1.133,367,324
527.jpg,160,159,25440,1.006,160,159
528.jpg,107,89,9523,1.202,107,89
529.jpg,719,422,303418,1.704,719,422
530.jpg,1643,972,1596996,1.69,1643,972
531.jpg,719,422,303418,1.704,719,422
532.jpg,222,156,34632,1.423,222,156
533.jpg,254,247,62738,1.028,254,247
534.jpg,371,314,116494,1.182,371,314
535.jpg,254,247,62738,1.028,254,247
536.jpg,376,171,64296,2.199,376,171
537.jpg,296,248,73408,1.194,296,248
538.jpg,176,150,26400,1.173,176,150
539.jpg,1309,643,841687,2.036,1309,643
540.jpg,137,84,11508,1.631,137,84
541.jpg,201,140,28140,1.436,201,140
542.jpg,203,192,38976,1.057,203,192
543.jpg,147,87,12789,1.69,147,87
544.jpg,535,354,189390,1.511,535,354
545.jpg,288,249,71712,1.157,288,249
546.jpg,850,685,582250,1.241,850,685
547.jpg,410,428,175480,0.958,428,410
548.jpg,508,399,202692,1.273,508,399
549.jpg,213,206,43878,1.034,213,206
550.jpg,205,170,34850,1.206,205,170
551.jpg,221,187,41327,1.182,221,187
552.jpg,199,187,37213,1.064,199,187
553.jpg,199,187,37213,1.064,199,187
554.jpg,189,134,25326,1.41,189,134
555.jpg,485,337,163445,1.439,485,337
556.jpg,188,200,37600,0.94,200,188
557.jpg,613,519,318147,1.181,613,519
558.jpg,342,319,109098,1.072,342,319
559.jpg,1181,660,779460,1.789,1181,660
560.jpg,111,102,11322,1.088,111,102
561.jpg,463,206,95378,2.248,463,206
562.jpg,312,285,88920,1.095,312,285
563.jpg,839,460,385940,1.824,839,460
564.jpg,147,120,17640,1.225,147,120
565.jpg,227,149,33823,1.523,227,149
566.jpg,184,133,24472,1.383,184,133
